index,date
3367,20150730
3368,20150731
3369,20150803
3370,20150804
3371,20150805
3372,20150806
3373,20150810
3374,20150807
3375,20150811
3376,20150812
3377,20150813
3378,20150814
3379,20150817
3380,20150818
3381,20150819
3382,20150820
3383,20150821
3384,20150824
3385,20150825
3386,20150826
3387,20150827
3388,20150828
3389,20150831
3390,20150901
3391,20150902
3392,20150903
3393,20150904
3394,20150907
3395,20150908
3396,20150909
3397,20150910
3398,20150911
3399,20150914
3400,20150915
3401,20150916
3402,20150917
3403,20150918
3404,20150921
3405,20150922
3406,20150923
3407,20150924
3408,20150925
3409,20150928
3410,20150929
3411,20150930
3412,20151001
3413,20151002
3414,20151005
3415,20151006
3416,20151007
3417,20151008
3418,20151009
3419,20151012
3420,20151013
3421,20151014
3422,20151015
3423,20151016
3424,20151019
3425,20151020
3426,20151021
3427,20151022
3428,20151023
3429,20151026
3430,20151027
3431,20151028
3432,20151029
3433,20151030
3434,20151102
3435,20151103
3436,20151104
3437,20151105
3438,20151106
3439,20151109
3440,20151110
3441,20151111
3442,20151112
3443,20151113
3444,20151116
3445,20151117
3446,20151118
3447,20151119
3448,20151120
3449,20151123
3450,20151124
3451,20151125
3452,20151126
3453,20151127
3454,20151130
3455,20151201
3456,20151202
3457,20151203
3458,20151204
3459,20151207
3460,20151208
3461,20151209
3462,20151210
3463,20151211
3464,20151214
3465,20151215
3466,20151216
3467,20151217
3468,20151218
3469,20151221
3470,20151222
3471,20151223
3472,20151224
3473,20151225
3474,20151228
3475,20151229
3476,20151230
3477,20151231
3478,20160101
3479,20160104
3480,20160105
3481,20160106
3482,20160107
3483,20160108
3484,20160111
3485,20160112
3486,20160113
3487,20160114
3488,20160115
3489,20160118
3490,20160119
3491,20160120
3492,20160121
3493,20160122
3494,20160125
3495,20160126
3496,20160127
3497,20160128
3498,20160129
3499,20160130
3500,20160201
3501,20160202
3502,20160203
3503,20160204
3504,20160205
3505,20160208
3506,20160209
3507,20160210
3508,20160211
3509,20160212
3510,20160215
3511,20160216
3512,20160217
3513,20160218
3514,20160219
3515,20160222
3516,20160223
3517,20160224
3518,20160225
3519,20160226
3520,20160229
3521,20160301
3522,20160302
3523,20160303
3524,20160304
3525,20160307
3526,20160308
3527,20160309
3528,20160310
3529,20160311
3530,20160314
3531,20160315
3532,20160316
3533,20160317
3534,20160318
3535,20160321
3536,20160322
3537,20160323
3538,20160324
3539,20160325
3540,20160328
3541,20160329
3542,20160330
3543,20160331
3544,20160401
3545,20160404
3546,20160405
3547,20160406
3548,20160407
3549,20160408
3550,20160411
3551,20160412
3552,20160413
3553,20160414
3554,20160415
3555,20160418
3556,20160419
3557,20160420
3558,20160421
3559,20160422
3560,20160425
3561,20160426
3562,20160427
3563,20160428
3564,20160429
3565,20160502
3566,20160503
3567,20160504
3568,20160505
3569,20160506
3570,20160509
3571,20160510
3572,20160511
3573,20160512
3574,20160513
3575,20160516
3576,20160517
3577,20160518
3578,20160519
3579,20160520
3580,20160523
3581,20160524
3582,20160525
3583,20160526
3584,20160527
3585,20160530
3586,20160531
3587,20160601
3588,20160602
3589,20160603
3592,20160604
3593,20160606
3594,20160607
3595,20160608
3596,20160609
3597,20160610
3598,20160613
3599,20160614
3600,20160615
3601,20160616
3602,20160617
3603,20160620
3604,20160621
3605,20160622
3606,20160623
3607,20160624
3608,20160627
3609,20160628
3610,20160629
3611,20160630
3612,20160701
3613,20160704
3614,20160705
3615,20160706
3616,20160707
3617,20160708
3618,20160711
3619,20160712
3620,20160713
3621,20160714
3622,20160715
3623,20160718
3624,20160719
3625,20160720
3626,20160721
3627,20160722
3628,20160725
3629,20160726
3630,20160727
3631,20160728
3632,20160729
3633,20160801
3634,20160802
3635,20160803
3636,20160804
3637,20160805
3638,20160808
3639,20160809
3640,20160810
3641,20160811
3642,20160812
3643,20160815
3644,20160816
3645,20160817
3646,20160818
3647,20160819
3648,20160822
3649,20160823
3650,20160824
3651,20160825
3652,20160826
3653,20160829
3654,20160830
3655,20160831
3656,20160901
3657,20160902
3658,20160905
3659,20160906
3660,20160907
3661,20160908
3662,20160909
3663,20160910
3664,20160912
3665,20160913
3666,20160914
3667,20160915
3668,20160916
3669,20160919
3670,20160920
3671,20160921
3672,20160922
3673,20160923
3674,20160926
3675,20160927
3676,20160928
3677,20160929
3678,20160930
3679,20161003
3680,20161004
3681,20161005
3682,20161006
3683,20161007
3684,20161010
3685,20161011
3686,20161012
3687,20161013
3688,20161014
3689,20161017
3690,20161018
3691,20161019
3692,20161020
3693,20161021
3694,20161024
3695,20161025
3696,20161026
3697,20161027
3698,20161028
3699,20161031
3700,20161101
3701,20161102
3702,20161103
3703,20161104
3704,20161107
3705,20161108
3706,20161109
3707,20161110
3708,20161111
3709,20161114
3713,20161115
3714,20161116
3715,20161117
3716,20161118
3717,20161121
3718,20161122
3719,20161123
3720,20161124
3721,20161125
3722,20161128
3723,20161129
3724,20161130
3725,20161201
3726,20161202
3727,20161205
3728,20161206
3729,20161207
3730,20161208
3731,20161209
3732,20161212
3733,20161213
3734,20161214
3735,20161215
3736,20161216
3737,20161219
3738,20161220
3739,20161221
3740,20161222
3741,20161226
3742,20161223
3743,20161227
3744,20161228
3745,20161229
3746,20170102
3747,20161230
3748,20170103
3749,20170104
3750,20170105
3751,20170106
3752,20170109
3753,20170110
3754,20170111
3755,20170112
3756,20170113
3757,20170116
3758,20170117
3759,20170118
3760,20170119
3761,20170120
3762,20170123
3763,20170124
3764,20170125
3765,20170126
3766,20170127
3767,20170130
3768,20170131
3769,20170201
3770,20170202
3771,20170203
3772,20170206
3773,20170207
3774,20170208
3775,20170209
3776,20170210
3777,20170213
3778,20170214
3779,20170215
3780,20170216
3781,20170217
